StudentID,Semester,CGPA,MathScore,ProgrammingScore,DSAScore,ProjectScore
ST10001,1,8.05,85.63,79.28,83.21,76.56
ST10001,2,8.83,89.59,94.63,88.44,86.01
ST10001,3,6.96,68.48,67.85,68.8,69.34
ST10001,4,5.97,59.34,58.86,73.25,64.32
ST10002,1,6.54,67.19,70.11,63.8,63.95
ST10002,2,6.53,56.58,78.24,68.92,71.92
ST10002,3,7.32,73.47,67.29,70.45,79.52
ST10002,4,7.11,63.8,72.34,66.45,69.08
ST10003,1,7.5,70.74,69.62,80.06,72.37
ST10003,2,8.66,78.15,89.97,81.11,85.3
ST10003,3,7.0,56.83,69.28,64.68,73.08
ST10003,4,7.83,64.76,79.3,76.09,74.45
ST10004,1,6.92,75.4,80.59,51.3,73.16
ST10004,2,6.91,73.42,57.0,69.38,82.78
ST10004,3,6.47,64.22,58.4,68.32,61.74
ST10004,4,6.66,68.68,77.75,66.06,71.62
ST10005,1,7.27,71.32,79.27,77.99,67.47
ST10005,2,7.27,69.4,67.56,70.77,80.89
ST10005,3,8.08,72.39,77.2,67.98,75.94
ST10005,4,7.36,59.9,74.58,72.9,77.93
ST10006,1,8.68,68.1,78.36,89.92,84.43
ST10006,2,5.98,56.57,62.26,65.59,53.79
ST10006,3,6.26,70.23,66.74,59.78,57.68
ST10006,4,8.06,87.29,76.98,84.27,71.49
ST10007,1,7.46,63.36,81.51,71.41,78.73
ST10007,2,7.4,74.13,79.24,74.1,77.26
ST10007,3,9.31,93.25,96.03,87.7,85.81
ST10007,4,9.27,84.48,82.48,91.4,89.52
ST10008,1,6.82,61.84,68.78,68.1,70.08
ST10008,2,8.74,82.94,81.9,77.83,74.18
ST10008,3,7.97,79.63,76.97,75.9,77.92
ST10008,4,7.61,64.13,79.37,75.5,75.05
ST10009,1,7.39,74.84,70.91,78.01,69.84
ST10009,2,7.86,74.51,69.87,77.37,80.08
ST10009,3,7.22,59.82,56.53,63.8,62.31
ST10009,4,8.45,80.27,86.39,85.48,76.82
ST10010,1,5.98,62.84,60.61,58.87,79.16
ST10010,2,7.27,84.49,65.57,73.56,80.25
ST10010,3,6.2,64.36,67.6,57.73,66.12
ST10010,4,9.16,92.74,95.88,77.26,90.47
ST10011,1,6.45,68.14,66.5,69.6,57.87
ST10011,2,7.15,68.09,66.98,79.08,60.69
ST10011,3,9.2,87.83,100.0,88.62,100.0
ST10011,4,6.95,74.02,83.31,74.8,57.99
ST10012,1,6.84,57.46,66.24,80.64,67.83
ST10012,2,8.73,84.48,82.23,95.23,81.52
ST10012,3,7.61,69.29,73.99,77.34,75.67
ST10012,4,8.8,72.2,84.67,100.0,87.95
ST10013,1,7.58,69.36,74.7,76.77,72.27
ST10013,2,8.07,75.72,75.11,83.07,81.45
ST10013,3,6.66,65.98,63.91,70.45,64.58
ST10013,4,8.86,81.36,84.82,90.51,84.47
ST10014,1,8.43,78.4,87.32,89.78,85.35
ST10014,2,8.25,77.41,77.59,78.73,71.33
ST10014,3,6.73,65.48,58.87,70.73,66.68
ST10014,4,7.19,65.14,70.39,75.26,78.73
ST10015,1,6.12,57.8,59.5,64.64,59.81
ST10015,2,6.55,74.07,68.9,69.15,66.76
ST10015,3,6.71,73.14,61.32,64.99,70.96
ST10015,4,6.63,67.79,62.79,69.68,74.75
ST10016,1,7.9,78.01,85.92,74.43,82.33
ST10016,2,7.34,66.83,72.33,72.92,75.39
ST10016,3,9.12,79.14,91.23,99.58,92.75
ST10016,4,8.4,87.7,86.24,86.02,82.15
ST10017,1,6.93,75.54,68.16,69.12,71.11
ST10017,2,6.68,73.84,68.48,59.41,71.09
ST10017,3,5.56,61.53,64.64,57.3,46.3
ST10017,4,7.19,74.41,75.29,72.8,66.65
ST10018,1,7.55,63.33,78.78,79.76,65.0
ST10018,2,7.98,74.13,74.58,86.08,83.4
ST10018,3,10.0,97.41,100.0,94.36,97.48
ST10018,4,5.48,48.04,68.78,70.64,56.25
ST10019,1,7.04,67.82,72.33,77.82,80.08
ST10019,2,5.09,52.74,52.58,55.65,43.56
ST10019,3,5.39,50.38,61.64,59.52,56.87
ST10019,4,6.78,72.9,76.06,62.47,69.19
ST10020,1,7.12,60.54,68.75,71.16,83.72
ST10020,2,6.92,61.46,69.07,67.44,69.69
ST10020,3,6.47,48.58,66.82,68.32,58.6
ST10020,4,9.67,88.63,90.2,94.33,100.0
ST10021,1,5.99,70.15,62.03,57.48,67.18
ST10021,2,7.13,69.71,55.96,75.34,66.49
ST10021,3,7.15,74.55,64.74,81.44,67.55
ST10021,4,6.41,74.61,51.56,67.73,55.85
ST10022,1,6.15,57.45,66.06,65.53,66.78
ST10022,2,7.54,66.35,77.45,76.51,72.24
ST10022,3,7.76,80.27,75.12,80.51,67.99
ST10022,4,6.09,50.74,71.23,64.56,56.61
ST10023,1,6.62,60.97,66.27,77.07,75.2
ST10023,2,6.19,60.79,63.81,57.46,72.52
ST10023,3,7.45,88.45,70.45,82.07,66.53
ST10023,4,7.54,71.54,74.35,78.37,79.29
ST10024,1,8.07,78.79,83.46,84.04,81.75
ST10024,2,7.84,88.47,71.0,75.97,82.17
ST10024,3,7.29,74.96,79.16,67.75,73.79
ST10024,4,6.87,68.65,81.92,72.47,78.16
ST10025,1,7.6,80.36,81.21,69.96,77.39
ST10025,2,7.98,78.07,92.68,82.24,76.57
ST10025,3,8.15,74.96,79.02,83.66,84.18
ST10025,4,8.14,73.52,82.83,84.03,80.71
ST10026,1,8.94,87.06,77.96,86.92,83.05
ST10026,2,6.52,72.73,61.04,58.37,69.19
ST10026,3,8.03,73.7,72.17,90.03,76.46
ST10026,4,8.5,78.11,80.93,75.86,89.1
ST10027,1,8.72,85.05,82.35,79.0,89.27
ST10027,2,4.9,50.09,63.78,51.97,50.0
ST10027,3,7.91,69.17,78.74,69.2,79.22
