StudentID,Semester,AttendancePercentage
ST10001,1,79.88
ST10001,2,83.44
ST10001,3,91.2
ST10001,4,89.77
ST10002,1,70.27
ST10002,2,72.3
ST10002,3,90.74
ST10002,4,84.82
ST10003,1,87.91
ST10003,2,95.47
ST10003,3,78.07
ST10003,4,86.79
ST10004,1,81.62
ST10004,2,72.68
ST10004,3,79.87
ST10004,4,88.2
ST10005,1,78.68
ST10005,2,82.57
ST10005,3,87.05
ST10005,4,79.52
ST10006,1,93.82
ST10006,2,69.46
ST10006,3,86.96
ST10006,4,90.31
ST10007,1,74.81
ST10007,2,95.58
ST10007,3,92.89
ST10007,4,85.57
ST10008,1,87.94
ST10008,2,92.66
ST10008,3,70.67
ST10008,4,78.84
ST10009,1,84.18
ST10009,2,67.02
ST10009,3,81.78
ST10009,4,88.51
ST10010,1,65.43
ST10010,2,83.52
ST10010,3,76.06
ST10010,4,81.27
ST10011,1,84.61
ST10011,2,87.45
ST10011,3,88.68
ST10011,4,78.16
ST10012,1,85.01
ST10012,2,87.04
ST10012,3,67.6
ST10012,4,92.9
ST10013,1,76.39
ST10013,2,82.23
ST10013,3,89.96
ST10013,4,88.23
ST10014,1,87.16
ST10014,2,90.33
ST10014,3,82.69
ST10014,4,73.6
ST10015,1,75.12
ST10015,2,78.04
ST10015,3,80.73
ST10015,4,80.46
ST10016,1,100.0
ST10016,2,72.29
ST10016,3,98.44
ST10016,4,96.47
ST10017,1,83.59
ST10017,2,73.2
ST10017,3,86.12
ST10017,4,63.41
ST10018,1,77.28
ST10018,2,94.27
ST10018,3,92.04
ST10018,4,85.17
ST10019,1,68.11
ST10019,2,61.55
ST10019,3,67.7
ST10019,4,82.24
ST10020,1,78.82
ST10020,2,75.68
ST10020,3,88.71
ST10020,4,100.0
ST10021,1,71.63
ST10021,2,66.97
ST10021,3,63.49
ST10021,4,78.96
ST10022,1,81.0
ST10022,2,83.2
ST10022,3,83.23
ST10022,4,69.01
ST10023,1,83.34
ST10023,2,89.38
ST10023,3,64.51
ST10023,4,82.08
ST10024,1,77.59
ST10024,2,72.28
ST10024,3,72.41
ST10024,4,82.39
ST10025,1,86.24
ST10025,2,96.58
ST10025,3,85.82
ST10025,4,71.63
ST10026,1,87.79
ST10026,2,66.51
ST10026,3,75.5
ST10026,4,92.14
ST10027,1,90.15
ST10027,2,74.2
ST10027,3,81.69
ST10027,4,81.52
ST10028,1,77.24
ST10028,2,100.0
ST10028,3,78.91
ST10028,4,75.24
ST10029,1,81.6
ST10029,2,86.76
ST10029,3,89.47
ST10029,4,82.36
ST10030,1,84.04
ST10030,2,76.54
ST10030,3,79.25
ST10030,4,87.61
ST10031,1,79.56
ST10031,2,70.35
ST10031,3,78.08
ST10031,4,86.43
ST10032,1,90.04
ST10032,2,75.9
ST10032,3,77.85
ST10032,4,80.91
ST10033,1,93.01
ST10033,2,86.7
ST10033,3,89.37
ST10033,4,91.74
ST10034,1,82.08
ST10034,2,81.98
ST10034,3,90.51
ST10034,4,81.49
ST10035,1,90.95
ST10035,2,100.0
ST10035,3,80.94
ST10035,4,81.07
ST10036,1,82.03
ST10036,2,88.67
ST10036,3,85.86
ST10036,4,91.25
ST10037,1,86.71
ST10037,2,86.17
ST10037,3,77.73
ST10037,4,77.1
ST10038,1,95.05
ST10038,2,84.06
ST10038,3,84.38
ST10038,4,88.73
ST10039,1,94.56
ST10039,2,80.76
ST10039,3,85.33
ST10039,4,75.76
ST10040,1,83.89
ST10040,2,82.56
ST10040,3,78.48
ST10040,4,93.38
ST10041,1,89.95
ST10041,2,72.53
ST10041,3,83.33
ST10041,4,82.02
ST10042,1,73.24
ST10042,2,76.05
ST10042,3,90.38
ST10042,4,86.32
ST10043,1,92.06
ST10043,2,84.24
ST10043,3,74.36
ST10043,4,85.85
ST10044,1,73.04
ST10044,2,86.97
ST10044,3,82.44
