StudentID,AptitudeScore,InterviewScore,ResumeScore,InternshipCount,HackathonCount,PlacementStatus
ST10001,79.01,54.63,33.12,0,2,Placed
ST10002,50.51,37.86,59.51,1,3,Placed
ST10003,61.21,42.19,44.27,0,0,Placed
ST10004,48.82,51.44,56.82,2,0,Not Placed
ST10005,56.79,24.77,50.52,0,1,Not Placed
ST10006,70.23,49.85,29.89,1,0,Placed
ST10007,68.21,55.35,36.43,0,2,Not Placed
ST10008,76.0,48.96,59.93,2,1,Placed
ST10009,57.77,52.19,58.9,1,1,Not Placed
ST10010,36.29,45.09,49.84,1,4,Not Placed
ST10011,59.81,43.19,52.96,1,0,Not Placed
ST10012,60.64,58.14,66.0,0,2,Placed
ST10013,56.32,40.0,62.06,1,0,Not Placed
ST10014,64.67,39.59,62.39,1,3,Not Placed
ST10015,66.68,51.99,44.78,1,1,Placed
ST10016,62.64,47.7,44.53,0,1,Not Placed
ST10017,46.15,55.33,36.43,1,0,Not Placed
ST10018,69.95,52.13,63.92,2,2,Placed
ST10019,49.15,62.62,43.44,1,0,Not Placed
ST10020,39.84,50.1,47.72,0,3,Not Placed
ST10021,53.53,53.57,34.49,1,0,Not Placed
ST10022,52.84,28.15,40.57,0,0,Not Placed
ST10023,37.79,47.7,18.37,0,1,Not Placed
ST10024,55.78,48.01,36.98,0,2,Not Placed
ST10025,59.88,57.44,37.95,0,1,Not Placed
ST10026,61.0,36.22,63.52,2,0,Not Placed
ST10027,59.4,56.97,37.81,1,1,Not Placed
ST10028,48.41,45.18,51.28,2,3,Not Placed
ST10029,64.16,32.42,27.7,0,0,Not Placed
ST10030,63.86,49.91,52.12,2,1,Not Placed
ST10031,69.96,46.83,60.03,2,3,Not Placed
ST10032,60.92,38.79,33.88,1,0,Not Placed
ST10033,64.78,55.12,49.12,0,4,Not Placed
ST10034,49.71,47.48,35.65,0,0,Not Placed
ST10035,61.95,47.18,44.25,0,1,Placed
ST10036,45.35,39.76,38.0,0,3,Not Placed
ST10037,57.21,53.11,50.37,1,1,Placed
ST10038,66.65,44.43,44.78,0,1,Placed
ST10039,58.19,46.47,46.52,2,0,Not Placed
ST10040,63.03,63.03,33.88,0,1,Not Placed
ST10041,57.74,61.9,25.94,0,0,Not Placed
ST10042,56.2,62.81,55.51,2,0,Placed
ST10043,77.87,36.31,45.59,0,0,Not Placed
ST10044,54.41,53.52,51.73,1,3,Not Placed
ST10045,68.24,51.74,41.62,0,0,Placed
ST10046,68.46,73.23,65.27,3,0,Placed
ST10047,68.66,49.39,48.91,1,0,Placed
ST10048,44.2,42.0,34.56,0,0,Not Placed
ST10049,60.66,54.3,42.78,1,0,Placed
ST10050,49.32,60.16,64.03,3,0,Placed
ST10051,52.1,51.27,57.52,2,4,Not Placed
ST10052,51.77,41.36,45.56,0,1,Not Placed
ST10053,55.81,57.39,53.33,3,0,Placed
ST10054,46.94,52.77,45.83,0,1,Placed
ST10055,60.77,43.92,54.64,2,0,Not Placed
ST10056,56.39,47.38,41.75,0,0,Placed
ST10057,50.84,38.17,35.8,1,0,Not Placed
ST10058,59.94,66.57,30.38,0,0,Placed
ST10059,76.66,80.07,52.93,1,0,Placed
ST10060,64.46,47.49,75.66,2,2,Not Placed
ST10061,54.09,70.77,59.12,3,1,Placed
ST10062,48.57,31.14,22.51,0,0,Not Placed
ST10063,67.56,48.09,41.7,1,1,Placed
ST10064,53.97,56.79,20.23,0,0,Placed
ST10065,46.69,60.96,57.63,1,2,Not Placed
ST10066,63.89,43.02,43.1,0,0,Not Placed
ST10067,50.39,47.64,74.32,3,2,Not Placed
ST10068,48.86,48.33,52.78,2,1,Not Placed
ST10069,57.87,61.44,66.77,3,3,Placed
ST10070,79.71,42.97,50.76,0,3,Not Placed
ST10071,67.28,43.95,41.62,0,1,Not Placed
ST10072,51.2,46.89,53.1,1,0,Placed
ST10073,75.03,65.58,42.34,1,0,Not Placed
ST10074,66.87,55.62,55.74,2,0,Placed
ST10075,43.56,26.36,35.77,0,0,Not Placed
ST10076,51.18,48.18,59.76,2,0,Placed
ST10077,50.5,51.53,48.28,1,0,Not Placed
ST10078,56.78,72.96,60.06,3,0,Placed
ST10079,64.2,33.1,28.1,1,0,Not Placed
ST10080,53.07,57.87,32.68,0,1,Not Placed
ST10081,63.97,40.83,37.84,0,1,Not Placed
ST10082,53.68,40.22,31.77,0,0,Placed
ST10083,49.22,49.57,37.54,0,1,Not Placed
ST10084,47.48,27.05,30.43,0,0,Not Placed
ST10085,80.97,55.64,42.9,0,2,Not Placed
