StudentID,PythonScore,JavaScore,DSAScore,MLScore,WebDevScore,CommunicationScore
ST10001,75.87,66.27,68.23,53.33,74.89,71.52
ST10002,47.46,48.04,62.15,64.74,43.51,42.34
ST10003,55.46,39.27,56.6,62.95,45.4,54.48
ST10004,40.59,58.36,41.68,57.91,40.46,54.41
ST10005,63.39,58.66,56.1,61.22,57.55,53.11
ST10006,73.34,61.89,66.01,64.16,56.02,57.52
ST10007,63.5,63.63,60.93,51.8,65.46,58.41
ST10008,54.54,47.68,66.71,54.99,66.65,55.42
ST10009,58.56,47.73,67.02,65.46,61.54,52.95
ST10010,64.74,58.89,70.91,56.5,46.98,45.17
ST10011,72.81,62.48,64.94,70.05,48.57,55.26
ST10012,67.48,72.32,64.28,56.52,59.66,75.32
ST10013,57.09,50.13,62.99,59.35,40.91,43.89
ST10014,62.5,64.38,61.48,63.34,50.6,47.53
ST10015,68.01,59.84,57.13,43.04,48.07,52.96
ST10016,69.75,62.46,64.44,56.73,65.58,64.65
ST10017,60.65,53.14,59.54,48.7,59.06,58.05
ST10018,49.59,62.81,58.19,67.41,69.89,60.02
ST10019,60.33,60.66,55.1,68.74,50.13,70.71
ST10020,60.2,53.87,59.31,49.98,66.27,45.95
ST10021,58.96,40.35,55.53,47.06,50.01,46.12
ST10022,57.55,54.02,44.87,44.38,50.29,46.04
ST10023,68.97,59.0,53.71,53.53,54.91,59.64
ST10024,41.99,44.08,57.73,51.26,49.38,53.62
ST10025,61.78,53.38,62.67,66.71,42.48,56.0
ST10026,45.68,58.67,61.6,48.34,54.41,36.33
ST10027,60.66,58.56,63.08,65.26,43.09,62.98
ST10028,61.33,37.54,49.12,45.22,56.34,33.34
ST10029,74.81,59.31,68.51,58.61,64.54,40.53
ST10030,48.99,55.62,53.71,35.59,51.12,42.14
ST10031,54.1,47.79,64.77,66.34,74.28,45.65
ST10032,63.36,63.89,53.58,47.96,48.54,56.0
ST10033,55.35,64.61,63.57,38.19,47.42,67.13
ST10034,61.59,58.52,51.04,74.89,43.67,47.83
ST10035,70.6,74.69,61.21,59.87,68.6,62.56
ST10036,56.29,53.5,47.93,57.76,57.26,52.4
ST10037,45.71,44.42,57.05,56.78,49.43,46.26
ST10038,53.65,64.19,59.84,59.57,61.14,54.17
ST10039,55.77,47.8,67.66,60.41,52.48,48.69
ST10040,56.47,57.6,76.8,67.25,60.29,70.64
ST10041,63.53,72.08,80.08,69.83,64.26,67.19
ST10042,49.73,34.92,45.37,40.05,44.2,66.96
ST10043,71.51,66.06,70.03,44.51,68.36,73.05
ST10044,53.13,72.17,58.84,50.05,77.09,57.75
ST10045,64.87,74.81,67.75,65.44,67.47,69.67
ST10046,50.77,53.5,49.56,54.75,55.1,70.77
ST10047,61.31,60.69,65.65,68.7,55.34,61.81
ST10048,36.77,54.66,66.41,49.29,58.24,55.6
ST10049,55.7,70.35,55.22,64.21,65.04,58.76
ST10050,57.38,48.66,61.31,43.3,53.42,57.11
ST10051,52.68,44.89,52.41,47.77,48.16,44.12
ST10052,75.73,64.09,56.48,63.87,70.76,52.73
ST10053,45.85,43.09,60.23,66.99,51.25,60.18
ST10054,69.85,72.24,59.25,67.49,57.09,62.42
ST10055,68.69,48.9,42.82,37.27,58.68,44.78
ST10056,68.42,52.0,52.58,70.07,52.4,62.85
ST10057,66.82,61.2,58.95,69.95,49.45,39.2
ST10058,65.16,60.83,55.62,45.26,43.21,62.91
ST10059,88.12,73.6,74.04,73.38,90.83,79.59
ST10060,47.07,54.77,58.2,44.03,60.61,51.0
ST10061,56.33,65.43,66.33,63.89,60.55,58.9
ST10062,66.67,61.18,50.99,39.09,50.33,61.91
ST10063,60.37,51.48,57.04,65.73,63.44,59.16
ST10064,56.48,52.48,52.56,60.2,60.25,69.41
ST10065,64.33,55.45,53.2,67.02,52.92,68.92
ST10066,46.41,55.29,45.02,58.51,42.62,57.68
ST10067,60.57,55.57,55.99,61.24,56.0,48.74
ST10068,47.16,52.36,53.05,45.18,62.62,55.55
ST10069,58.67,49.86,78.06,81.33,54.24,73.29
ST10070,59.28,69.15,62.27,57.72,41.43,49.89
ST10071,52.74,54.17,43.86,45.02,57.01,44.51
ST10072,69.26,74.99,71.03,68.01,53.19,58.75
ST10073,76.89,56.31,71.36,54.62,59.56,63.63
ST10074,53.86,56.1,47.5,41.82,45.96,51.79
ST10075,48.82,55.68,51.03,51.3,50.41,38.5
ST10076,55.9,56.81,62.85,45.15,39.44,60.18
ST10077,69.23,58.67,64.3,74.38,56.44,59.88
ST10078,72.88,61.79,71.27,68.82,82.79,66.94
ST10079,53.73,56.76,46.46,60.33,63.67,49.1
ST10080,42.16,59.5,53.84,46.22,57.89,60.05
ST10081,61.13,58.14,64.19,65.32,45.02,50.64
ST10082,45.34,56.3,46.56,53.39,66.67,63.27
ST10083,52.64,54.56,60.07,53.15,52.93,62.42
ST10084,49.87,51.86,41.43,40.78,47.07,46.36
ST10085,67.75,64.71,59.26,43.56,73.26,58.78
ST10086,48.99,30.8,47.04,46.04,47.32,73.24
ST10087,59.76,63.11,64.21,61.48,62.99,57.23
ST10088,61.44,70.12,56.64,50.9,62.85,68.61
ST10089,49.37,52.81,62.84,54.24,48.8,63.76
ST10090,49.87,41.82,45.99,38.31,35.73,43.52
ST10091,64.89,52.05,61.4,62.07,71.73,58.87
ST10092,38.92,47.21,45.36,52.86,46.19,30.21
ST10093,86.54,58.52,62.01,57.14,45.67,58.65
ST10094,63.04,63.6,62.35,48.2,42.15,56.88
ST10095,49.97,42.87,59.51,38.11,57.03,39.43
ST10096,60.86,67.26,58.09,74.0,75.13,64.69
ST10097,76.52,74.76,74.09,77.9,62.08,54.78
ST10098,46.54,70.95,58.53,51.31,64.12,47.28
ST10099,68.16,62.61,67.29,58.38,56.32,54.49
ST10100,51.53,54.99,46.12,44.03,56.96,52.99
ST10101,56.77,54.89,76.4,55.39,52.21,59.05
ST10102,72.95,59.43,68.62,71.21,57.51,62.72
ST10103,78.59,63.94,59.1,69.08,45.09,65.1
ST10104,61.59,40.37,53.3,58.97,59.83,64.34
ST10105,30.25,49.23,34.15,35.21,51.76,49.46
ST10106,63.34,49.76,68.57,60.77,63.48,46.62
ST10107,60.95,49.05,47.69,56.21,56.25,47.81
ST10108,84.28,80.59,74.12,70.33,71.2,54.49
ST10109,61.24,61.13,56.72,56.55,41.28,54.55
ST10110,68.45,74.92,54.53,61.72,69.86,59.91
ST10111,72.85,65.88,76.45,54.86,59.39,67.36
ST10112,58.58,57.36,63.42,48.44,46.86,56.81
ST10113,54.85,53.59,66.46,60.74,60.31,56.35
ST10114,67.99,63.05,62.65,62.47,69.73,58.79
ST10115,63.55,59.0,59.58,68.65,44.13,56.29
ST10116,47.12,63.25,68.92,49.77,54.02,47.0
ST10117,54.05,50.81,52.31,49.23,45.75,65.59
ST10118,61.42,49.22,54.6,49.53,68.35,62.2
ST10119,60.03,67.45,67.96,61.41,50.51,52.89
ST10120,48.66,65.46,48.28,59.27,59.16,49.89
ST10121,59.07,32.12,44.95,39.19,52.27,50.42
ST10122,52.27,65.55,63.03,58.42,52.83,47.23
ST10123,59.12,59.37,57.98,53.72,48.03,60.02
ST10124,44.27,59.92,46.27,59.12,59.62,65.89
ST10125,66.1,65.4,48.79,56.6,73.14,58.02
ST10126,48.05,45.4,47.35,47.97,52.99,52.71
ST10127,37.34,47.27,44.49,32.6,36.7,40.89
ST10128,72.51,67.71,66.2,66.78,77.15,72.77
